draw_id,intercept,age_centered_40,sex_2,acuity_code_blank,acuity_code_unknown,acuity_code_no_triage_esa_conducts_triage,acuity_code_immediate,acuity_code_emergent,acuity_code_semi_urgent,acuity_code_nonurgent,acuity_code_no_nursing_triage_esa,arrival_transfer_context_blank,arrival_transfer_context_unknown,arrival_transfer_context_not_applicable,arrival_transfer_context_yes_transferred_from_hospital_or_urgent_care,fever_or_temp,tachycardia_burden,hypotension_burden,seed
32,-1.5092013395538457,0.034526340466201476,0.1533573738604016,0.36767471808263641,0.054192654805799823,-0.051938891605246507,1.0397271701392214,1.0900469228356422,-1.6673217713662616,-0.64999138802919454,-0.22197246370486678,-0.43976257514186246,-0.048543434971601893,-0.93648366880660261,1.3050774370167197,0.46086731338495768,0.25267845267225181,0.65060566397886155,20260429
33,-1.7055099143167185,0.03687403158532896,0.18020088790871874,0.35000304475164556,0.27668726776914032,0.37989753751258443,0.88440142407899414,1.1493961499799907,-1.566178720007624,-0.29079977340555691,-0.11477366526349486,-0.38536671670920158,0.072635288041477633,-0.94946124927629416,1.5149760534722974,0.43184568580070637,0.23591310178718405,0.74664222077277398,20260429
34,-1.401139576577533,0.034807917780783668,0.19496108173697635,0.0557585423815877,-0.033714852160673547,0.26831768367865216,0.59084558669939125,1.0328741619829975,-1.7093454573558038,-0.21737559643315707,-0.11297349289701515,-0.23612501708352443,-0.34622202107208561,-0.9919928312932369,1.7630487074289056,0.28753799966200821,0.26972464534620172,0.83761890595168365,20260429
35,-1.7301114234537862,0.036089187163442948,0.18749324956900099,0.18214273157765271,0.111695473023498,0.63795510735433369,1.2133034209916904,1.1505997621963113,-1.5502282411268775,-0.32507212224544046,0.10372756645107242,-0.23113170579267814,0.29706357688872126,-0.90708530195642478,1.3450525603322832,0.40341202758304973,0.24029981409669099,0.91316714213845118,20260429
36,-1.6440826363674432,0.031459274096412637,0.18624047283355327,0.015697449305001027,0.078553013318971382,0.2970291817117392,1.575819288300107,1.2008228664832752,-1.8319865959338053,-0.26447353116364625,-0.15159095561686697,-0.23126744791931941,0.29406924636342785,-0.86521429845424036,1.7977643146534992,0.4540474456024175,0.23069849516708985,0.75799746989732264,20260429
37,-1.6727506285203013,0.035336962177465459,0.22873879162015576,0.55910450255055344,0.19346870878872552,0.50558582826835663,1.241210968142668,1.0706418336845176,-1.7685208736619555,-0.3174421345836792,0.18779216987359343,-0.18759185082179311,0.025826411620482978,-0.97612898768907241,1.845636415940163,0.40488132648482489,0.31534216499425127,0.70157340286749514,20260429
38,-1.6159977274473711,0.034312263647412695,0.19825041153828216,0.089485728279085769,0.10433112483255423,0.32491257101035365,1.5532379944595625,1.1420686686320742,-1.5281733724126736,0.20240910711984683,0.11519092023501631,-0.14231605809080716,0.18861778499868231,-0.99730885222173449,1.5691969891722761,0.50354269624071524,0.28515893878897991,0.73529382825194101,20260429
39,-1.7254629062331781,0.033973047505569211,0.27947462478606772,0.27241603722515001,0.1200691215186232,0.064209828459745655,0.91502636967502848,1.205497917800749,-1.6951412258854401,-1.3734182426996875,-0.17320108085418306,-0.09077545545396859,0.060557803976832518,-0.83593947010785308,1.294375501851309,0.50855323092354232,0.27384522800082134,0.81693403991257219,20260429
40,-1.6759091325328537,0.038309817577231287,0.17830550802975437,0.34997815078133121,0.30282435875727476,0.33316400168206617,1.3753409781452659,1.205082197476514,-1.7799720179711143,-0.41354464448251937,0.012458205074063727,-0.24489226591410068,-0.066623986700052248,-0.95686665139905736,1.5642476160644492,0.57477541971949553,0.26157546680023114,0.71089824402838353,20260429
41,-1.6760320232822761,0.037591056715812428,0.23712682020492909,0.25403266337268254,0.041155430900625678,-0.29238462433284157,0.80210407392748162,1.0676997571829141,-1.7143034984520391,-0.57007564058528137,-0.16316915510690272,-0.25449570983375747,0.33212038692730234,-0.8983149911191799,1.5150622432605192,0.26412461919726382,0.29826847828064068,0.82886712701357113,20260429
