draw_id,intercept,age_centered_40,sex_2,high_acuity_proxy,fever_or_temp,tachycardia_burden,hypotension_burden,seed
152,-2.6968295550993218,0.042201447373330342,0.24916877596470238,1.3565503284219134,0.12912522556620995,0.26162656653602429,0.78124774141862319,20260504
153,-2.5765833600034194,0.037344839300184882,0.17160872458702728,1.4417590551955561,0.39558959874503696,0.25279810084382037,0.72911821563167911,20260504
154,-2.6929097666600033,0.042764201871184751,0.29646250505028454,1.3481668456047671,0.57206007991738739,0.27134664713570433,0.94138801028199648,20260504
155,-2.6804240339855756,0.040034335211980097,0.23749415910081892,1.4958954383440037,0.28413598482919022,0.30840192100852959,0.78941691683579251,20260504
156,-2.7711316196828459,0.041826437987199837,0.21105962856178798,1.4022898000884239,0.22610989648283114,0.34561219232018348,0.88527761964836948,20260504
157,-2.742701618267283,0.040580012152481533,0.22264462389538128,1.4546924975423519,0.15010181065996966,0.27267539648276934,0.90432108820071277,20260504
158,-2.7640530326250143,0.042117610825895553,0.26954716960452857,1.3592680456194128,0.32197839848760557,0.25874991083013998,0.8371594331368587,20260504
159,-2.6008895393596214,0.040839217913597264,0.22747066347809913,1.4849741757121628,0.31253206807867662,0.29466937563934603,0.73835543868615816,20260504
160,-2.660671544583689,0.040790531454160603,0.2389381248258968,1.436260990968353,0.2891410529179706,0.24743046248011691,0.93811118981277397,20260504
161,-2.7267810382373971,0.042989559361896058,0.31228773027646822,1.4735494802167748,0.05003274144038472,0.33261291345835803,0.65754607889396843,20260504
162,-2.7183508114727704,0.042566599871746338,0.2835786732206747,1.3829531534628021,0.4158107132247596,0.26488823409529055,0.72676475313491717,20260504
163,-2.7551958455622678,0.042447852981706342,0.21586652570402345,1.5137614007313989,0.438672083102355,0.29172027108588849,1.0160494329524312,20260504
164,-2.6192223999804529,0.039583984491105437,0.19267381708462544,1.424545015459046,0.44537792839441803,0.25267146714650374,0.75602355665042609,20260504
